country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","11-11-2025 18:00:00",28.5710274,77.0719006,NH3,14,21,17
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","11-11-2025 18:00:00",28.5710274,77.0719006,CO,6,151,33
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","11-11-2025 18:00:00",28.6573814,77.1585447,OZONE,17,329,244
India,Delhi,Delhi,"Pusa, Delhi - DPCC","11-11-2025 18:00:00",28.639652,77.146275,PM10,263,500,403
India,Delhi,Delhi,"Pusa, Delhi - DPCC","11-11-2025 18:00:00",28.639652,77.146275,SO2,7,30,17
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","11-11-2025 18:00:00",23.163798,72.677768,SO2,5,18,11
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-11-2025 18:00:00",23.243639,72.68994,PM10,69,173,116
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-11-2025 18:00:00",23.243639,72.68994,NO2,7,16,9
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-11-2025 18:00:00",23.243639,72.68994,SO2,3,7,4
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-11-2025 18:00:00",23.243639,72.68994,CO,14,106,22
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-11-2025 18:00:00",23.243639,72.68994,OZONE,5,46,35
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","11-11-2025 18:00:00",23.221714,72.654328,PM2.5,67,206,138
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","11-11-2025 18:00:00",23.221714,72.654328,PM10,82,208,139
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","11-11-2025 18:00:00",23.221714,72.654328,NH3,1,1,1
India,Gujarat,Surat,"Science Center, Surat - SMC","11-11-2025 18:00:00",21.170046,72.795405,PM2.5,41,265,108
India,Gujarat,Surat,"Science Center, Surat - SMC","11-11-2025 18:00:00",21.170046,72.795405,NO2,2,15,8
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","11-11-2025 18:00:00",20.362421,72.918013,PM2.5,62,341,215
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","11-11-2025 18:00:00",28.376058,77.315741,OZONE,1,149,110
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","11-11-2025 18:00:00",28.4417,77.3217,NO2,36,40,37
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","11-11-2025 18:00:00",28.4417,77.3217,CO,18,66,60
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","11-11-2025 18:00:00",29.503664,75.467934,PM10,183,445,361
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","11-11-2025 18:00:00",29.503664,75.467934,NO2,18,20,19
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","11-11-2025 18:00:00",29.503664,75.467934,SO2,3,27,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","11-11-2025 18:00:00",29.503664,75.467934,CO,25,37,27
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","11-11-2025 18:00:00",28.422681,77.148944,PM2.5,177,490,397
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","11-11-2025 18:00:00",28.4227,77.0667,PM2.5,192,500,397
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","11-11-2025 18:00:00",28.4227,77.0667,SO2,1,16,6
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","11-11-2025 18:00:00",29.8006,76.4155,CO,17,112,41
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","11-11-2025 18:00:00",29.8006,76.4155,OZONE,15,51,35
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","11-11-2025 18:00:00",29.695300,77.002700,PM10,49,181,124
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","11-11-2025 18:00:00",29.695300,77.002700,SO2,13,17,15
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","11-11-2025 18:00:00",29.966942,76.875879,PM2.5,74,246,169
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","11-11-2025 18:00:00",27.9002,76.9938,PM10,82,151,112
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","11-11-2025 18:00:00",27.9002,76.9938,SO2,32,39,34
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","11-11-2025 18:00:00",27.9002,76.9938,OZONE,24,33,27
